player_id,player_name,player_fullname,RATING_3_0,T_RATING,CT_RATING,ROUND_SWING,DPR,KAST,MULTI_KILL,ADR,KPR,Total_kills,Headshot_pct,Total_deaths,KD_Ratio,Damage_per_Round,Grenade_dmg_per_Round,Maps_played,Rounds_played,Kills_per_round,Assists_per_round,Deaths_per_round,Saved_by_teammate_per_round,Saved_teammates_per_round,Impact_rating,total_kills_weapon,rifle_kills,rifle_pct,sniper_kills,sniper_pct,pistol_kills,pistol_pct,smg_kills,smg_pct,top_weapon,top_weapon_pct,ak47_kills,m4a1_kills,m4a1s_kills,awp_kills,ssg08_kills,deagle_kills,glock_kills,usp_kills
21167,donk,Danil Kryshkovets,1.41,1.46,1.38,+3.72%,0.66,77.8%,25.1%,94.5,0.90,889,61.4%,652,1.36,94.5,3.6,47,985,0.90,0.23,0.66,0.13,0.15,1.64,889,722,81.2,11,1.2,142,16.0,7,0.8,ak47,57.8,514,109,68,11,0,38,33,40
11893,ZywOo,Mathieu Herbaut,1.36,1.38,1.35,+4.03%,0.55,77.6%,22.3%,85.1,0.86,1053,41.0%,672,1.57,85.1,4.2,56,1228,0.86,0.17,0.55,0.10,0.12,1.44,1053,395,37.5,441,41.9,180,17.1,17,1.6,awp,40.7,277,81,5,429,12,35,40,25
19230,m0NESY,Ilya Osipov,1.28,1.17,1.39,+3.78%,0.59,76.7%,20.4%,81.0,0.81,823,36.3%,599,1.37,81.0,3.3,45,1016,0.81,0.13,0.59,0.10,0.10,1.26,888,236,26.6,492,55.4,135,15.2,9,1.0,awp,53.3,141,28,41,473,19,14,41,17
21667,Magnojez,Kirill Rodnov,1.21,1.17,1.24,+1.78%,0.68,74.2%,19.5%,86.0,0.77,1202,52.2%,1068,1.13,86.0,3.3,75,1568,0.77,0.24,0.68,0.09,0.10,1.36,1202,876,72.9,26,2.2,182,15.1,98,8.2,ak47,40.8,491,67,253,23,3,13,40,55
16693,flameZ,Shahar Shushan,1.20,1.17,1.24,+1.45%,0.66,76.6%,20.0%,78.8,0.75,924,53.2%,806,1.15,78.8,3.6,56,1228,0.75,0.19,0.66,0.14,0.11,1.27,924,624,67.5,2,0.2,125,13.5,165,17.9,ak47,33.5,310,273,4,2,0,16,43,35
11816,ropz,Robin Kool,1.19,1.19,1.19,+1.75%,0.57,76.9%,19.1%,77.7,0.74,910,54.5%,699,1.30,77.7,4.0,56,1228,0.74,0.18,0.57,0.07,0.11,1.12,910,700,76.9,26,2.9,151,16.6,21,2.3,ak47,38.6,351,260,16,26,0,26,47,30
22673,makazze,Drin Shaqiri,1.20,1.18,1.22,+1.75%,0.69,75.5%,18.8%,84.3,0.76,1223,51.8%,1103,1.11,84.3,5.0,77,1601,0.76,0.24,0.69,0.13,0.11,1.36,1223,961,78.6,6,0.5,207,16.9,41,3.4,ak47,45.5,557,13,307,4,2,42,57,80
15631,KSCERATO,Kaike Cerato,1.18,1.14,1.22,+1.30%,0.63,74.6%,18.5%,81.0,0.75,907,48.8%,758,1.20,81.0,5.9,56,1208,0.75,0.21,0.63,0.09,0.11,1.21,907,716,78.9,13,1.4,144,15.9,18,2.0,ak47,36.9,335,110,197,13,0,21,32,39
20127,w0nderful,Ihor Zhdanov,1.17,1.20,1.15,+1.68%,0.57,76.4%,19.6%,73.4,0.77,1229,38.0%,919,1.34,73.4,2.7,77,1601,0.77,0.12,0.57,0.09,0.14,1.16,1229,416,33.8,579,47.1,219,17.8,6,0.5,awp,45.1,231,66,32,554,25,67,27,38
20304,Staehr,Victor Staehr,1.17,1.15,1.19,+1.65%,0.67,72.7%,18.4%,81.8,0.73,913,57.8%,835,1.09,81.8,6.9,60,1244,0.73,0.21,0.67,0.10,0.12,1.26,913,707,77.4,3,0.3,159,17.4,34,3.7,ak47,41.1,375,166,118,2,1,43,50,60
